pair_group,cv_id,jd_id,role,cv_skill,jd_skill,score
role:Data Scientist,cv_ds_ru_008,jd_ds_ru_101,Data Scientist,CatBoost,CatBoost,1.0
role:Data Scientist,cv_ds_ru_008,jd_ds_ru_101,Data Scientist,Airflow,Airflow,1.0
role:Data Scientist,cv_ds_ru_008,jd_ds_ru_101,Data Scientist,LightGBM,LightGBM,1.0
role:Data Scientist,cv_ds_ru_008,jd_ds_ru_101,Data Scientist,MLflow,MLflow,1.0
role:Data Scientist,cv_ds_ru_008,jd_ds_ru_101,Data Scientist,SQL,SQL,1.0
role:Data Scientist,cv_ds_ru_004,jd_ds_ru_104,Data Scientist,Docker,Docker,1.0
role:Data Scientist,cv_ds_ru_004,jd_ds_ru_104,Data Scientist,MLflow,MLflow,1.0
role:Data Scientist,cv_ds_ru_004,jd_ds_ru_104,Data Scientist,LightGBM,LightGBM,1.0
role:Data Scientist,cv_ds_ru_004,jd_ds_ru_104,Data Scientist,SQL,SQL,1.0
role:Data Scientist,cv_ds_ru_004,jd_ds_ru_104,Data Scientist,pandas,pandas,1.0
role:Data Scientist,cv_ds_ru_007,jd_ds_ru_109,Data Scientist,MLflow,MLflow,1.0
role:Data Scientist,cv_ds_ru_007,jd_ds_ru_109,Data Scientist,SQL,SQL,1.0
role:Data Scientist,cv_ds_ru_007,jd_ds_ru_109,Data Scientist,Transformers,Transformers,1.0
role:Data Scientist,cv_ds_ru_007,jd_ds_ru_109,Data Scientist,Python,Python,1.0
role:Data Scientist,cv_ds_ru_007,jd_ds_ru_109,Data Scientist,PyTorch,PyTorch,1.0
role:Data Engineer,cv_de_ru_002,jd_de_ru_102,Data Engineer,Docker,Docker,1.0
role:Data Engineer,cv_de_ru_002,jd_de_ru_102,Data Engineer,CI/CD,CI/CD,1.0
role:Data Engineer,cv_de_ru_002,jd_de_ru_102,Data Engineer,Spark,Spark,1.0
role:Data Engineer,cv_de_ru_002,jd_de_ru_102,Data Engineer,Debezium,Debezium,1.0
role:Data Engineer,cv_de_ru_002,jd_de_ru_102,Data Engineer,Kafka Connect,Kafka Connect,1.0
role:Data Engineer,cv_de_ru_010,jd_de_ru_107,Data Engineer,BigQuery,BigQuery,1.0
role:Data Engineer,cv_de_ru_010,jd_de_ru_107,Data Engineer,Spark,Spark,1.0
role:Data Engineer,cv_de_ru_010,jd_de_ru_107,Data Engineer,SQL,SQL,1.0
role:Data Engineer,cv_de_ru_010,jd_de_ru_107,Data Engineer,Flink,Flink,1.0
role:Data Engineer,cv_de_ru_010,jd_de_ru_107,Data Engineer,PySpark,PySpark,1.0
role:Data Engineer,cv_de_ru_011,jd_de_ru_105,Data Engineer,SQL,SQL,1.0
role:Data Engineer,cv_de_ru_011,jd_de_ru_105,Data Engineer,Spark,Spark,1.0
role:Data Engineer,cv_de_ru_011,jd_de_ru_105,Data Engineer,CDC,CDC,1.0
role:Data Engineer,cv_de_ru_011,jd_de_ru_105,Data Engineer,Terraform,Terraform,1.0
role:Data Engineer,cv_de_ru_011,jd_de_ru_105,Data Engineer,Python,Python,1.0
role:Data Analyst,cv_da_ru_003,jd_da_ru_103,Data Analyst,PostgreSQL,PostgreSQL,1.0
role:Data Analyst,cv_da_ru_003,jd_da_ru_103,Data Analyst,SQL,SQL,1.0
role:Data Analyst,cv_da_ru_003,jd_da_ru_103,Data Analyst,ClickHouse,ClickHouse,1.0
role:Data Analyst,cv_da_ru_003,jd_da_ru_103,Data Analyst,Python,Python,1.0
role:Data Analyst,cv_da_ru_003,jd_da_ru_103,Data Analyst,Tableau,Tableau,1.0
role:Data Analyst,cv_da_ru_006,jd_da_ru_106,Data Analyst,PostgreSQL,PostgreSQL,1.0
role:Data Analyst,cv_da_ru_006,jd_da_ru_106,Data Analyst,SQL,SQL,1.0
role:Data Analyst,cv_da_ru_006,jd_da_ru_106,Data Analyst,Tableau,Tableau,1.0
role:Data Analyst,cv_da_ru_006,jd_da_ru_106,Data Analyst,Python,Python,1.0
role:Data Analyst,cv_da_ru_006,jd_da_ru_106,Data Analyst,dbt,dbt,1.0
role:Data Analyst,cv_da_ru_012,jd_da_ru_108,Data Analyst,Grafana,Grafana,1.0
role:Data Analyst,cv_da_ru_012,jd_da_ru_108,Data Analyst,Tableau,Tableau,1.0
role:Data Analyst,cv_da_ru_012,jd_da_ru_108,Data Analyst,Python,Python,1.0
role:Data Analyst,cv_da_ru_012,jd_da_ru_108,Data Analyst,SQL,SQL,1.0
role:Data Analyst,cv_da_ru_012,jd_da_ru_108,Data Analyst,pandas,pandas,1.0
